"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 14 19:45:20 GMT 2022","Tue Jun 14 19:45:20 GMT 2022","163","","ALICE81@ozon.ru","","ALICE81@ozon.ru","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"passed","Tue Jun 14 19:45:21 GMT 2022","Tue Jun 14 19:45:21 GMT 2022","158","","Отправляем email с некорректным api_key","","Отправляем email с некорректным api_key","Получить ответ на валидный email без api_key","Получить ответ на валидный email без api_key",""
"passed","Tue Jun 14 19:45:21 GMT 2022","Tue Jun 14 19:45:21 GMT 2022","163","","Отправляем email с некорректным api_key","","Отправляем email с некорректным api_key","Получить ответ на валидный email с несуществующим api_key","Получить ответ на валидный email с несуществующим api_key",""
"failed","Tue Jun 14 19:45:20 GMT 2022","Tue Jun 14 19:45:20 GMT 2022","184","","3897278^25_Doe@mail.ru","","3897278^25_Doe@mail.ru","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"failed","Tue Jun 14 19:45:19 GMT 2022","Tue Jun 14 19:45:20 GMT 2022","250","","Отправляем email","","Отправляем email","Получить ответ на валидный email","Получить ответ на валидный email",""
"failed","Tue Jun 14 19:45:20 GMT 2022","Tue Jun 14 19:45:20 GMT 2022","175","","Jeanne77@yandex.ru","","Jeanne77@yandex.ru","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"failed","Tue Jun 14 19:45:20 GMT 2022","Tue Jun 14 19:45:20 GMT 2022","208","","Johathan77@yahoo.com","","Johathan77@yahoo.com","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"failed","Tue Jun 14 19:45:21 GMT 2022","Tue Jun 14 19:45:21 GMT 2022","161","","Bill35@@yahoo.com","","Bill35@@yahoo.com","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"failed","Tue Jun 14 19:45:20 GMT 2022","Tue Jun 14 19:45:21 GMT 2022","157","","37443hjfhufdiufdiUifjkodruhf998jfjso_123jfi28@hotmail.com","","37443hjfhufdiufdiUifjkodruhf998jfjso_123jfi28@hotmail.com","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"failed","Tue Jun 14 19:45:21 GMT 2022","Tue Jun 14 19:45:21 GMT 2022","171","","ИванИванов@gmail.ru","","ИванИванов@gmail.ru","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
