"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 02 16:17:04 GMT 2022","Sat Jul 02 16:17:05 GMT 2022","1581","","Garret.Beier@gmail.com","","Garret.Beier@gmail.com","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"passed","Sat Jul 02 16:17:05 GMT 2022","Sat Jul 02 16:17:11 GMT 2022","5355","","Jeanne_Doe25@yandex.ru","","Jeanne_Doe25@yandex.ru","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"passed","Sat Jul 02 16:17:22 GMT 2022","Sat Jul 02 16:17:25 GMT 2022","2996","","37443hjfhufdiufdiUifjkodruhf998jfjso_123jfi_mail.ru@hotmail.com","","37443hjfhufdiufdiUifjkodruhf998jfjso_123jfi_mail.ru@hotmail.com","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"failed","Sat Jul 02 16:17:25 GMT 2022","Sat Jul 02 16:17:25 GMT 2022","150","","Bill_Doe@@yahoo.com","","Bill_Doe@@yahoo.com","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"passed","Sat Jul 02 16:17:25 GMT 2022","Sat Jul 02 16:17:26 GMT 2022","613","","ИванИванов@gmail.ru","","ИванИванов@gmail.ru","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"passed","Sat Jul 02 16:17:26 GMT 2022","Sat Jul 02 16:17:26 GMT 2022","194","","Отправляем email с некорректным api_key","","Отправляем email с некорректным api_key","Получить ответ на валидный email с несуществующим api_key","Получить ответ на валидный email с несуществующим api_key",""
"passed","Sat Jul 02 16:17:21 GMT 2022","Sat Jul 02 16:17:22 GMT 2022","700","","ALICE_Doe@ozon.ru","","ALICE_Doe@ozon.ru","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"passed","Sat Jul 02 16:17:26 GMT 2022","Sat Jul 02 16:17:26 GMT 2022","141","","Отправляем email с некорректным api_key","","Отправляем email с некорректным api_key","Получить ответ на валидный email без api_key","Получить ответ на валидный email без api_key",""
"passed","Sat Jul 02 16:16:59 GMT 2022","Sat Jul 02 16:17:04 GMT 2022","4578","","Отправляем email","","Отправляем email","Получить ответ на валидный email","Получить ответ на валидный email",""
"passed","Sat Jul 02 16:17:11 GMT 2022","Sat Jul 02 16:17:21 GMT 2022","10479","","3897278_25_Doe41@mail.ru","","3897278_25_Doe41@mail.ru","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
