"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 14 22:06:52 GMT 2022","Tue Jun 14 22:06:52 GMT 2022","117","","Oswaldo53@yahoo.com","","Oswaldo53@yahoo.com","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"failed","Tue Jun 14 22:06:53 GMT 2022","Tue Jun 14 22:06:53 GMT 2022","97","","Bill.Doe89@@yahoo.com","","Bill.Doe89@@yahoo.com","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"failed","Tue Jun 14 22:06:52 GMT 2022","Tue Jun 14 22:06:52 GMT 2022","105","","Jeanne.Doe40@yandex.ru","","Jeanne.Doe40@yandex.ru","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"failed","Tue Jun 14 22:06:52 GMT 2022","Tue Jun 14 22:06:52 GMT 2022","107","","3897278}25.Doe96@mail.ru","","3897278}25.Doe96@mail.ru","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"passed","Tue Jun 14 22:06:53 GMT 2022","Tue Jun 14 22:06:53 GMT 2022","98","","Отправляем email с некорректным api_key","","Отправляем email с некорректным api_key","Получить ответ на валидный email без api_key","Получить ответ на валидный email без api_key",""
"failed","Tue Jun 14 22:06:52 GMT 2022","Tue Jun 14 22:06:53 GMT 2022","114","","37443hjfhufdiufdiUifjkodruhf998jfjso_123jfi.mail.ru36@gmail.com","","37443hjfhufdiufdiUifjkodruhf998jfjso_123jfi.mail.ru36@gmail.com","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"failed","Tue Jun 14 22:06:53 GMT 2022","Tue Jun 14 22:06:53 GMT 2022","418","","ИванИванов@gmail.ru","","ИванИванов@gmail.ru","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"failed","Tue Jun 14 22:06:52 GMT 2022","Tue Jun 14 22:06:52 GMT 2022","144","","Отправляем email","","Отправляем email","Получить ответ на валидный email","Получить ответ на валидный email",""
"failed","Tue Jun 14 22:06:52 GMT 2022","Tue Jun 14 22:06:52 GMT 2022","118","","ALICE.Doe@ozon.ru","","ALICE.Doe@ozon.ru","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"passed","Tue Jun 14 22:06:53 GMT 2022","Tue Jun 14 22:06:53 GMT 2022","115","","Отправляем email с некорректным api_key","","Отправляем email с некорректным api_key","Получить ответ на валидный email с несуществующим api_key","Получить ответ на валидный email с несуществующим api_key",""
