"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 14 21:49:35 GMT 2022","Tue Jun 14 21:49:35 GMT 2022","156","","Bill55@@yahoo.com","","Bill55@@yahoo.com","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"failed","Tue Jun 14 21:49:34 GMT 2022","Tue Jun 14 21:49:35 GMT 2022","174","","Jeanne68@yandex.ru","","Jeanne68@yandex.ru","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"failed","Tue Jun 14 21:49:34 GMT 2022","Tue Jun 14 21:49:34 GMT 2022","199","","Malika.Shields5@hotmail.com","","Malika.Shields5@hotmail.com","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"failed","Tue Jun 14 21:49:35 GMT 2022","Tue Jun 14 21:49:35 GMT 2022","152","","37443hjfhufdiufdiUifjkodruhf998jfjso_123jfi_mail.ru@yahoo.com","","37443hjfhufdiufdiUifjkodruhf998jfjso_123jfi_mail.ru@yahoo.com","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"passed","Tue Jun 14 21:49:36 GMT 2022","Tue Jun 14 21:49:36 GMT 2022","182","","Отправляем email с некорректным api_key","","Отправляем email с некорректным api_key","Получить ответ на валидный email с несуществующим api_key","Получить ответ на валидный email с несуществующим api_key",""
"failed","Tue Jun 14 21:49:35 GMT 2022","Tue Jun 14 21:49:36 GMT 2022","594","","ИванИванов@gmail.ru","","ИванИванов@gmail.ru","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"failed","Tue Jun 14 21:49:29 GMT 2022","Tue Jun 14 21:49:34 GMT 2022","4751","","Отправляем email","","Отправляем email","Получить ответ на валидный email","Получить ответ на валидный email",""
"failed","Tue Jun 14 21:49:35 GMT 2022","Tue Jun 14 21:49:35 GMT 2022","156","","3897278#2547@mail.ru","","3897278#2547@mail.ru","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
"passed","Tue Jun 14 21:49:36 GMT 2022","Tue Jun 14 21:49:36 GMT 2022","200","","Отправляем email с некорректным api_key","","Отправляем email с некорректным api_key","Получить ответ на валидный email без api_key","Получить ответ на валидный email без api_key",""
"failed","Tue Jun 14 21:49:35 GMT 2022","Tue Jun 14 21:49:35 GMT 2022","177","","ALICE_Doe38@ozon.ru","","ALICE_Doe38@ozon.ru","Параметризированный тест с разными почтами","Параметризированный тест с разными почтами",""
